ORIGIN is: /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House
Is info above correct? [Y/n]
Answer: Proceeding...
- ADD UNSET ALBUM NAME METADATA BASED ON TITLE -------------------------
[SKIP] Álbum já definido: '01 DISC' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/01 DISC/Hotspot.flac
[SKIP] Álbum já definido: '02 DISC' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/02 DISC/House of Jazz.flac
[SKIP] Álbum já definido: 'A New High Fidelity Tripout' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/A New High Fidelity Tripout/Earthlight.flac
[SKIP] Álbum já definido: 'A Night With Robbie Jean' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/A Night With Robbie Jean/The Fall.flac
[SKIP] Álbum já definido: 'Atrium' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Atrium/1515 Broadway.flac
[SKIP] Álbum já definido: 'Atrium' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Atrium/Blueprint.flac
[SKIP] Álbum já definido: 'Atrium' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Atrium/Multiverse.flac
[SKIP] Álbum já definido: 'azahar' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/azahar/azahar.flac
[SKIP] Álbum já definido: 'Barcode' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Barcode/Barcode.flac
[SKIP] Álbum já definido: 'Beach Party' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Beach Party/Beach Party.flac
[SKIP] Álbum já definido: 'bianca' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/bianca/bianca.flac
[SKIP] Álbum já definido: 'Boat Party' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Boat Party/Boat Party.flac
[SKIP] Álbum já definido: 'Bodhi' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Bodhi/Bodhi.flac
[SKIP] Álbum já definido: 'calvera' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/calvera/calvera.flac
[SKIP] Álbum já definido: 'Canvas / Rendezvous' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Canvas   Rendezvous/Rendezvous.flac
[SKIP] Álbum já definido: 'Caravella EP' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Caravella EP/Caravella - Edit.flac
[SKIP] Álbum já definido: 'Comme Down' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Comme Down/Comme Down.flac
[SKIP] Álbum já definido: 'concord' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/concord/concord.flac
[SKIP] Álbum já definido: 'Creationflow' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Creationflow/Creationflow.flac
[SKIP] Álbum já definido: 'Dance' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Dance/Dance.flac
[SKIP] Álbum já definido: 'Dancing in the Jazz Club' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Dancing in the Jazz Club/Dancing in the Jazz Club.flac
[SKIP] Álbum já definido: 'Dazzlin'' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Dazzlin'/Dazzlin'.flac
[SKIP] Álbum já definido: 'De Vere' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/De Vere/De Vere.flac
[SKIP] Álbum já definido: 'Do You Even Care' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Do You Even Care/Do You Even Care.flac
[SKIP] Álbum já definido: 'Dreams' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Dreams/Dreams.flac
[SKIP] Álbum já definido: 'Dub Off' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Dub Off/Dub Off.flac
[SKIP] Álbum já definido: 'Dynamite' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Dynamite/Dynamite.flac
[SKIP] Álbum já definido: 'Echoes' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Echoes/Echoes.flac
[SKIP] Álbum já definido: 'Echoes of Miami.' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Echoes of Miami./Take your time.flac
[SKIP] Álbum já definido: 'Enjoy (Bonus Track)' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Enjoy (Bonus Track)/Enjoy - Bonus Track.flac
[SKIP] Álbum já definido: 'Everything' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Everything/Everything.flac
[SKIP] Álbum já definido: 'Feel The Groove' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Feel The Groove/Feel The Groove.flac
[SKIP] Álbum já definido: 'fiano' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/fiano/fiano.flac
[SKIP] Álbum já definido: 'fiano' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/fiano/merlot.flac
[SKIP] Álbum já definido: 'First Class' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/First Class/First Class.flac
[SKIP] Álbum já definido: 'Flow' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Flow/Flow.flac
[SKIP] Álbum já definido: 'Forever' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Forever/Forever.flac
[SKIP] Álbum já definido: 'French Lessons' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/French Lessons/Faubourg Saint-Denis.flac
[SKIP] Álbum já definido: 'Furaha' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Furaha/Untitled.flac
[SKIP] Álbum já definido: 'Hand On The Torch' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Hand On The Torch/Cantaloop (Flip Fantasia).flac
[SKIP] Álbum já definido: 'Hold Up' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Hold Up/Hold Up.flac
[SKIP] Álbum já definido: 'Ideas' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Ideas/Agua.flac
[SKIP] Álbum já definido: 'Ideas' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Ideas/Cache Me If You Can.flac
[SKIP] Álbum já definido: 'Ideas' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Ideas/Somna.flac
[SKIP] Álbum já definido: 'If you could be anywhere.' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/If you could be anywhere./If you could be anywhere.flac
[SKIP] Álbum já definido: 'intersection' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/intersection/what we think about.flac
[SKIP] Álbum já definido: 'Island Flow' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Island Flow/Island Flow.flac
[SKIP] Álbum já definido: 'Jazz Dance' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Jazz Dance/Breathe.flac
[SKIP] Álbum já definido: 'Jazz Dance' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Jazz Dance/Jazz Dance.flac
[SKIP] Álbum já definido: 'Jazz Dance' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Jazz Dance/Second Wind.flac
[SKIP] Álbum já definido: 'Jazz Dance' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Jazz Dance/Spotlight.flac
[SKIP] Álbum já definido: 'jazz is for ordinary people' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/jazz is for ordinary people/jazz is for ordinary people.flac
[SKIP] Álbum já definido: 'Jazz On Grounds' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Jazz On Grounds/Jazz On Grounds.flac
[SKIP] Álbum já definido: 'Jazzy Cigarette' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Jazzy Cigarette/Jazzy Cigarette.flac
[SKIP] Álbum já definido: 'Keep It Unreal' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Keep It Unreal/Get A Move On!.flac
[SKIP] Álbum já definido: 'Keep On Wiggling' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Keep On Wiggling/Keep On Wiggling.flac
[SKIP] Álbum já definido: 'kosmos' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/kosmos/passport picture.flac
[SKIP] Álbum já definido: 'La fille du 7e étage' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/La fille du 7e étage/La fille du 7e étage.flac
[SKIP] Álbum já definido: 'last dance' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/last dance/last dance.flac
[SKIP] Álbum já definido: 'Late Checkout' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Late Checkout/Late Checkout.flac
[SKIP] Álbum já definido: 'Le Cristal' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Le Cristal/Le Cristal.flac
[SKIP] Álbum já definido: 'Let Loose' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Let Loose/Let Loose.flac
[SKIP] Álbum já definido: 'Love Language' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Love Language/Love Language.flac
[SKIP] Álbum já definido: 'Lucas' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Lucas/Easy.flac
[SKIP] Álbum já definido: 'Mediterranean Sea' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Mediterranean Sea/Mediterranean Sea.flac
[SKIP] Álbum já definido: 'Meduza' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Meduza/Meduza.flac
[SKIP] Álbum já definido: 'Midnight Drift' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Midnight Drift/Midnight Drift.flac
[SKIP] Álbum já definido: 'mirage' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/mirage/mirage.flac
[SKIP] Álbum já definido: 'Missing u' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Missing u/Missing u.flac
[SKIP] Álbum já definido: 'Moons' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Moons/Moons.flac
[SKIP] Álbum já definido: 'more butter' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/more butter/more butter.flac
[SKIP] Álbum já definido: 'Morning Sun / Caribbean Lights' → /home/user/Downloads/SpotiFLAC/Jazz Dance_ Jazz House _ Cocktail Bar _ Wine Bar, Bow-House/Morning Sun   Caribbean Lights/Morning Sun.flac
